Sexual,Violence,Substance,Language
one night stand,gore,heroin,asshole
cumshot,violence,intoxicated,slander
ejaculate,atrocity,beer,defamatory
underwear,punch,vodka,racial
sexual act,gun,alcohol,slur
blow job,knife,opioids,nigga
ass,murder,ecstasy,vulgar
dick,assault,cigar,motherfucker
dink,stab,marijuana,mocking
erotic,violent,booze,abusive
sensual,attack,weed,bastard
masturbate,mutilation,drugs,expletive
panties,battle,drunk,fuck
handjob,devilry,meth,shit
breast,kill,cocaine,virgin
masturbation,smash,pills,foul
provocative,,,obscene
sex,,,contemptible
vagina,,,wretch
nudity,,,damn
nude,,,bitch
virgin,,,fuckin
seductive,,,niggas
brassiere,,,idoiot
make love,,,simpleton
bra,,,
orgasm,,,
